FIPS,Name,Area,Pop_2000,Pop_2010
48451,Tom Green County,1522,104010,110224
48453,Travis County,990,812280,1024266
48455,Trinity County,694,13779,14585
48457,Tyler County,925,20871,21766
48459,Upshur County,583,35291,39309
48461,Upton County,1241,3404,3355
48463,Uvalde County,1552,25926,26405
48465,Val Verde County,3145,44856,48879
48467,Van Zandt County,843,48140,52579
48469,Victoria County,882,84088,86793
48471,Walker County,784,61758,67861
48473,Waller County,513,32663,43205
48475,Ward County,836,10909,10658
48477,Washington County,604,30373,33718
48479,Webb County,3361,193117,250304
48481,Wharton County,1086,41188,41280
48483,Wheeler County,915,5284,5410
48485,Wichita County,628,131664,131500
48487,Wilbarger County,971,14676,13535
48489,Willacy County,591,20082,22134
48491,Williamson County,1118,249967,422679
48493,Wilson County,804,32408,42918
48495,Winkler County,841,7173,7110
48497,Wise County,904,48793,59127
48499,Wood County,645,36752,41964
48501,Yoakum County,800,7322,7879
48503,Young County,914,17943,18550
48505,Zapata County,998,12182,14018
48507,Zavala County,1297,11600,11677
49001,Beaver County,2590,6005,6629
49003,Box Elder County,5746,42745,49975
49005,Cache County,1165,91391,112656
49007,Carbon County,1478,20422,21403
49009,Daggett County,697,921,1059
49011,Davis County,299,238994,306479
49013,Duchesne County,3241,14371,18607
49015,Emery County,4462,10860,10976
49017,Garfield County,5175,4735,5172
49019,Grand County,3672,8485,9225
49021,Iron County,3297,33779,46163
49023,Juab County,3392,8238,10246
49025,Kane County,3990,6046,7125
49027,Millard County,6572,12405,12503
49029,Morgan County,609,7129,9469
49031,Piute County,758,1435,1556
49033,Rich County,1029,1961,2264
49035,Salt Lake County,742,898387,1029655
49037,San Juan County,7820,14413,14746
49039,Sanpete County,1590,22763,27822
49041,Sevier County,1911,18842,20802
49043,Summit County,1872,29736,36324
49045,Tooele County,6941,40735,58218
49047,Uintah County,4480,25224,32588
49049,Utah County,2003,368536,516564
49051,Wasatch County,1176,15215,23530
49053,Washington County,2426,90354,138115
49055,Wayne County,2461,2509,2778
49057,Weber County,576,196533,231236
50001,Addison County,766,35974,36821
50003,Bennington County,675,36994,37125
50005,Caledonia County,649,29702,31227
50007,Chittenden County,537,146571,156545
50009,Essex County,664,6459,6306
50011,Franklin County,634,45417,47746
50013,Grand Isle County,82,6901,6970
50015,Lamoille County,459,23233,24475
50017,Orange County,687,28226,28936
50019,Orleans County,693,26277,27231
50021,Rutland County,930,63400,61642
50023,Washington County,687,58039,59534
50025,Windham County,785,44216,44513
50027,Windsor County,969,57418,56670
51001,Accomack County,450,38305,33164
51003,Albemarle County,721,79236,98970
51005,Alleghany County,445,12926,16250
51007,Amelia County,355,11400,12690
51009,Amherst County,474,31894,32353
51011,Appomattox County,333,13705,14973
51013,Arlington County,26,189453,207627
51015,Augusta County,967,65615,73750
51017,Bath County,529,5048,4731
51019,Bedford County,753,60371,68676
51021,Bland County,358,6871,6824
51023,Botetourt County,541,30496,33148
51025,Brunswick County,566,18419,17434
51027,Buchanan County,503,26978,24098
51029,Buckingham County,580,15623,17146
51031,Campbell County,504,51078,54842
51033,Caroline County,528,22121,28545
51035,Carroll County,475,29245,30042
51036,Charles City County,183,6926,7256
51037,Charlotte County,475,12472,12586
51041,Chesterfield County,423,259903,316236
51043,Clarke County,176,12652,14034
51045,Craig County,330,5091,5190
51047,Culpeper County,379,34262,46689
51049,Cumberland County,297,9017,10052
51051,Dickenson County,331,16395,15903
51053,Dinwiddie County,504,24533,28001
51057,Essex County,257,9989,11151
51059,Fairfax County,391,969749,1081726
51061,Fauquier County,647,55139,65203
51063,Floyd County,380,13874,15279
51065,Fluvanna County,286,20047,25691
51067,Franklin County,690,47286,56159
51069,Frederick County,414,59209,78305
51071,Giles County,356,16657,17286
51073,Gloucester County,218,34780,36858
51075,Goochland County,281,16863,21717
51077,Grayson County,442,17917,15533
51079,Greene County,156,15244,18403
51081,Greensville County,295,11560,12243
51083,Halifax County,818,37355,36241
51085,Hanover County,469,86320,99863
51087,Henrico County,234,262300,306935
51089,Henry County,382,57930,54151
51091,Highland County,415,2536,2321
51093,Isle of Wight County,316,29728,35270
51095,James City County,142,48102,67009
51097,King and Queen County,315,6630,6945
